in_ct,in_prob,out_ct,out_prob,in_ratio,out_ratio,avg_prob,degree,SensorId,cnc_score
7939.0,0.6374617409534576,83001.0,0.8972281032138221,0.08729931823180022,0.9127006817681887,0.7673449220836399,90940.0,1,17.52303680437287
143.0,0.9776017682847133,1.0,0.6806105076977845,0.9930555555486594,0.00694444444439622,0.829106137991249,144.0,1,8.252480985949463
5872.0,0.8342497832833433,87000.0,0.9010536909819885,0.06322680678783633,0.9367731932121528,0.867651737132666,92872.0,3,19.850116047911186
1070.0,0.9102178030024154,23001.0,0.8485984564944006,0.044451830002906215,0.9555481699970523,0.879408129748408,24071.0,3,17.74435360156962
1140.0,0.8660825402405402,23000.0,0.8821239026688497,0.04722452361225985,0.9527754763876987,0.8741032214546949,24140.0,3,17.642317127166244
